node1	node2	score	network_id	edge_type
AT2G32950	AT1G02340	1	BIOGRID	PPI
AT2G32950	AT1G02340	1	BIOGRID	PPI
AT1G02340	AT2G32950	1	BIOGRID	PPI
AT1G09570	AT4G08920	1	BIOGRID	PPI
AT1G09570	AT5G63310	1	BIOGRID	PPI
AT2G18790	AT5G63310	1	BIOGRID	PPI
AT2G20180	AT1G09570	1	BIOGRID	PPI
AT2G20180	AT2G18790	1	BIOGRID	PPI
AT1G09530	AT1G09570	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT2G18790	AT1G09530	1	BIOGRID	PPI
AT2G18790	AT2G43010	1	BIOGRID	PPI
AT2G18790	AT3G59060	1	BIOGRID	PPI
AT2G18790	AT5G35840	1	BIOGRID	PPI
AT2G18790	AT4G16250	1	BIOGRID	PPI
AT2G18790	AT4G18130	1	BIOGRID	PPI
AT4G16250	AT2G18790	1	BIOGRID	PPI
AT4G16250	AT4G18130	1	BIOGRID	PPI
AT2G32950	AT1G09570	1	BIOGRID	PPI
AT2G32950	AT1G09570	1	BIOGRID	PPI
AT2G46340	AT2G32950	1	BIOGRID	PPI
AT2G46340	AT2G32950	1	BIOGRID	PPI
AT2G32950	AT5G11260	1	BIOGRID	PPI
AT2G32950	AT5G64920	1	BIOGRID	PPI
AT2G32950	AT4G25560	1	BIOGRID	PPI
AT2G32950	AT4G25560	1	BIOGRID	PPI
AT2G43010	AT1G09570	1	BIOGRID	PPI
AT2G43010	AT2G18790	1	BIOGRID	PPI
AT1G09530	AT1G09570	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT3G22170	AT3G22170	1	BIOGRID	PPI
AT3G22170	AT4G15090	1	BIOGRID	PPI
AT4G15090	AT4G15090	1	BIOGRID	PPI
AT4G15090	AT3G22170	1	BIOGRID	PPI
AT4G15090	AT3G22170	1	BIOGRID	PPI
AT3G20050	AT2G32950	1	BIOGRID	PPI
AT4G08920	AT2G32950	1	BIOGRID	PPI
AT2G18790	AT2G32950	1	BIOGRID	PPI
AT3G20050	AT2G32950	1	BIOGRID	PPI
AT4G08920	AT2G32950	1	BIOGRID	PPI
AT4G08920	AT2G32950	1	BIOGRID	PPI
AT1G10470	AT2G18790	1	BIOGRID	PPI
AT2G18790	AT1G10470	1	BIOGRID	PPI
AT2G18790	AT1G10470	1	BIOGRID	PPI
AT5G14250	AT3G61140	1	BIOGRID	PPI
AT5G14250	AT1G71230	1	BIOGRID	PPI
AT5G14250	AT1G71230	1	BIOGRID	PPI
AT5G14250	AT3G61140	1	BIOGRID	PPI
AT1G71230	AT5G14250	1	BIOGRID	PPI
AT1G71230	AT3G61140	1	BIOGRID	PPI
AT2G32950	AT2G46340	1	BIOGRID	PPI
AT2G46340	AT2G32950	1	BIOGRID	PPI
AT2G32950	AT2G46340	1	BIOGRID	PPI
AT4G02440	AT5G42190	1	BIOGRID	PPI
AT4G02440	AT5G42190	1	BIOGRID	PPI
AT1G03360	AT3G61620	1	BIOGRID	PPI
AT3G23050	AT3G62980	1	BIOGRID	PPI
AT3G23050	AT3G62980	1	BIOGRID	PPI
AT3G23050	AT4G02570	1	BIOGRID	PPI
